pmid,title,abstract
41866640,Is Alzheimer's an Autoimmune Disease?,"Alzheimer's disease is defined as a progressive neurodegenerative disorder characterized by a gradual decline in cognitive and functional abilities [1]. Although debate continues with respect to its exact pathology, several hypotheses have been proposed to explain its underlying mechanisms. The two primary pathological factors of Alzheimer's disease are the accumulation of amyloid-β plaques and neurofibrillary tangles composed of hyperphosphorylated tau and neurofilament protein [1, 2]. It should be noted that our use of the descriptor hyperphosphorylated tau is done to conform with current nomenclature; it should not be construed as indicating saturation of all the amino acids capable of being phosphorylated. Emerging clinical evidence proposes that some variants of Alzheimer's disease may be caused by an autoimmune process rather than a purely neurodegenerative one. The purpose of this paper is to review and evaluate evidence supporting and challenging the autoimmune hypothesis of Alzheimer's disease, as well as to explore its implications for future therapeutic strategies within the framework of the disease."
41862476,Single-cell multiomics uncovers an endothelial mechanosensitive PIEZO1-IL-33 axis driving pulmonary fibrosis.,"Pulmonary fibrosis represents a progressive interstitial lung disease marked by excessive extracellular matrix deposition and architectural distortion. Vascular endothelial cells critically contribute to fibrogenesis through paracrine secretion of pro-fibrotic mediators, yet their mechanobiological regulation remains elusive. Using integrated single-cell multi-omics profiling of human pulmonary fibrosis specimens and experimental fibrosis models induced by bleomycin or silica, we identify mechanosensitive Piezo1 upregulation in Endothelial cells as a hallmark of fibrotic progression. Endothelial-specific Piezo1 knockout significantly attenuates Bleomycin-induced fibrotic remodeling in male mice, establishing its pathogenic necessity. Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33. These findings suggest that the endothelial PIEZO1-CAPN2-STAT3-IL33 axis is a potential therapeutic target for PF intervention."
41862458,A cell cycle-dependent transition of acetylation to phosphorylation regulates timely centrosome maturation.,"Centrosomes must undergo maturation in the G2/M phases to activate the microtubule-organizing activity, ensuring proper bipolar spindle assembly and chromosome segregation. Polo-like kinase 1(PLK1) is crucial for centrosome maturation. How the cell cycle controls timely PLK1 recruitment and centrosome maturation remains elusive. Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases. This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation. We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade. Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe. Thus, the cell cycle-dependent transition of RNF40 modifications ensures timely centrosome maturation and chromosome segregation."
41862462,Multi-omic identification of key transcriptional regulatory programs during endurance exercise training in rats.,"Transcription factors play a key role in regulating gene expression. We conduct an integrated analysis of chromatin accessibility, DNA methylation, mRNA expression, protein abundance and phosphorylation across eight tissues in fifty rats of equally represented sexes following endurance exercise training to identify coordinated epigenomic and transcriptional changes and determine key transcription factors involved. We uncover tissue-specific endurance exercise training associated changes and transcription factor motif enrichment across differentially expressed genes, accessible regions, and methylated regions. We discover distinct routes of training-induced regulation through either epigenomic alterations providing better access for transcription factors to affect target genes, or via changes in transcription factor expression or activity enabling target gene responses. We identify transcription factor motifs enriched among correlated epigenomic and transcriptomic alterations, differentially expressed genes correlated with exercise-related phenotypic and cell type composition changes, and training-induced activity changes of transcription factors whose target genes are enriched for differentially expressed genes. This analysis elucidates the unique gene regulatory mechanisms mediating diverse transcriptional responses to training across tissues."
41852029,On the Mechanism of Ezrin Activation.,"Ezrin is a peripheral membrane protein that contributes to the organization and stability of cellular membrane structures by reversibly linking the plasma membrane to actin filaments. The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567. Collectively, membrane association and T567 phosphorylation are believed to promote separation of the FERM and CTD domains; however, the underlying molecular mechanism remains less clear. In this study, we investigate the mechanistic steps of ezrin activation and the thermodynamic free energy landscape of FERM-CTD dissociation using enhanced sampling molecular dynamics (MD). We find that upon ezrin attachment to a lipid membrane, PI(4,5)P2 molecules outcompete other phospholipids at the surface of the FERM F1 and F3 subdomains. This interaction triggers a major conformational rearrangement within the FERM domain that destabilizes the FERM F2-CTD interface and initiates dissociation between the FERM and CTD. By employing well-tempered metadynamics (WTMetaD) with a contact-map collective variable, we determine that the principal barrier to FERM-CTD dissociation comes from F3-CTD interactions and that this dissociation can happen autonomously with a moderate free energy barrier. We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier. The free energy profile of dissociation between FERM and the CTD-replacing EBP50 protein is similar to that of the FERM-CTD system with nonphosphorylated T567, which agrees well with an in vivo experimental observation that EBP50 competes with the CTD for F2-F3 binding after CTD is dissociated. Together, our results help establish a revised view on the ezrin activation mechanism where FERM binding to PI(4,5)P2 enables autonomous dissociation of the nonphosphorylated CTD."
41852165,Mitochondrial Adaptations in Skeletal Muscle Following Incretin-Based Therapies: In Vitro.,"BACKGROUND: Incretin-based therapies such as glucagon-like peptide-1 receptor agonists (GLP-1Ras), dual GLP-1/GIP agonists and amylin analogues have demonstrated significant weight loss benefits. However, their impact on skeletal muscle mitochondrial function, particularly under metabolic stress, remains unclear. This study aimed to investigate the effects of semaglutide (GLP-1RA), tirzepatide (dual GLP-1/GIP agonist) and cagrilintide (amylin analogue) on mitochondrial function in C2C12 skeletal muscle myotubes under both healthy and lipotoxic (palmitic acid-treated) conditions. METHODS: Differentiated C2C12 myotubes were treated with doses of each drug for 48 h and 5 days. Mitochondrial respiration was assessed using the Seahorse XFp analyser, mitochondrial DNA (mtDNA) copy number and oxidative phosphorylation (OXPHOS) complex protein expression were measured by qPCR and western blotting. Key findings were repeated in primary human skeletal muscle cells. RESULTS: Palmitic acid (PA) significantly impaired mitochondrial function, reducing basal oxygen consumption rate (OCR) by 22% (p = 0.0056) and ATP production by 25% (p = 0.0022). In healthy myotubes, semaglutide and cagrilintide transiently reduced basal respiration (↓21%-28%, p < 0.05) and ATP production (↓24%-31%, p < 0.01) at 48 h, along with reductions in Complexes I, III and IV protein expression, all of which resolved by 5 days. Tirzepatide significantly increased maximal respiration (↑20%-25%, p < 0.005) and spare respiratory capacity (↑22%-30%, p < 0.005) after 5 days. In PA-treated myotubes, semaglutide and cagrilintide acutely worsened mitochondrial impairment (↓ATP production by ~20%-25%, p < 0.01), but these effects resolved by Day 5. Tirzepatide initially suppressed mitochondrial function (↓ATP production, p = 0.0087) but reversed these effects by Day 5, significantly improving ATP production (↑27%-30%, p < 0.005), basal respiration (↑20%, p = 0.0152), and coupling efficiency. mtDNA content remained unchanged across all conditions. Similar responses were noted in human myotubes, with a transient reduction in respiration for semaglutide and cagrilintide (↓30%-62%, p < 0.05) at 48 h and a significant improvement in maximal respiration for tirzepatide at 5 days (↑42%-52%, p = 0.0022). CONCLUSION: Incretin-based therapies exert distinct, time and dose-dependent effects on skeletal muscle mitochondrial function. Tirzepatide promoted sustained improvements in mitochondrial respiration under both healthy and lipotoxic conditions, indicating potential benefits for maintaining skeletal muscle bioenergetic function. These findings underscore the need for further mechanistic studies and suggest that tirzepatide may have the potential to support skeletal muscle health in metabolic disease."
41861599,Trem1 regulates neutrophil metabolism and recruitment in lung ischemia-reperfusion injury.,"Primary graft dysfunction (PGD) caused by ischemia-reperfusion injury (IRI) is a major complication after lung transplantation, yet its underlying mechanisms remain unclear. Triggering receptor expressed on myeloid cells 1 (Trem1) is an important mediator of inflammation, but its role in neutrophil function and metabolic reprogramming during lung IRI is not well understood. In this study, we used a murine orthotopic lung transplantation model with cold ischemia and reperfusion, and Trem1 knockout (Trem1-/-) and myeloid-specific Trem1 conditional knockout mice (LysmCreTrem1fl) to explore the role of Trem1 in neutrophil recruitment, neutrophil extracellular trap (NET) formation, and metabolism. Our results show that Trem1 expression increases in both mouse and human lungs after reperfusion and correlates with neutrophil infiltration and lung injury. Trem1 deficiency significantly reduced neutrophil and macrophage recruitment, NET formation, and tissue damage. Multi-omics analysis revealed that Trem1 deletion suppressed oxidative phosphorylation (OXPHOS) and induced a metabolic shift in neutrophils toward glycolysis. In clinical samples, the abundance of TREM1+ neutrophils was correlated with PGD severity and OXPHOS activity. These findings identify Trem1 as a key regulator of neutrophil metabolism and recruitment in lung IRI, and suggest that targeting Trem1 may provide a novel therapeutic strategy to mitigate PGD and improve lung transplant outcomes."
41864848,T-loop dynamics: telomere structure shapes cell fate decisions.,"Telomeres are nucleoprotein elements bound by shelterin that protect chromosome ends from DNA damage signalling and inappropriate repair. A defining architectural feature is the telomere loop (t-loop), a lariat structure formed by 3' overhang invasion into duplex telomeric DNA, which sequesters chromosome ends from damage recognition. T-loop stability is disrupted by the loss of the shelterin component TRF2, and progressive telomere shortening during ageing is predicted to compromise t-loop maintenance. In addition to intrinsic erosion, an active, shelterin-directed mechanism unwinds t-loops during mitotic arrest. This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN. In this review, we review how dynamic t-loop architecture integrates telomere signalling with cell fate decisions."
41855862,An overview of NF-κB-independent functions of IKK subunits.,"IKK (IκB kinase) complex serves as the core component of the NF-κB signaling pathway. Its canonical function is to phosphorylate IκB proteins, thereby promoting the nuclear translocation and transcriptional activation of NF-κB. However, in recent years, it has been found that subunits of IKK complex (IKKα, IKKβ and IKKγ/NEMO) are widely involved in cell cycle regulation, autophagy, DNA damage repair, metabolic reprogramming and tumor metastasis independent of NF-κB pathway (defined as the function of IKK mediated through non classical or non-IκB substrates). This functional versatility is precisely governed by stimulus strength/duration, subcellular compartmentalization, scaffold protein usage, and differential substrate phosphorylation thresholds, which enable the same core kinase machinery to robustly control seemingly contradictory signaling outputs. In this paper, the nonclassical functions and molecular mechanisms of IKK subunits are systematically reviewed, which provides a new perspective for the targeted treatment of IKK related diseases."
41840068,Activation and regulation of the dynein-dynactin-NuMA complex.,"During cell division, the nuclear mitotic apparatus protein (NuMA) orchestrates the focusing of microtubule minus-ends in spindle poles and cortical force generation on astral microtubules by interacting with dynein motors, microtubules and other cellular factors. Here we used in vitro reconstitution, cryo-electron microscopy and live-cell imaging to understand the mechanism and regulation of NuMA. We determined the structure of the processive dynein-dynactin-NuMA complex (DDN) and showed that the NuMA N terminus drives dynein motility in vitro and facilitates dynein-mediated transport in live cells. The C terminus of NuMA directly binds and suppresses the dynamics of the microtubule minus-end. Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells. Together with dynein, activated full-length NuMA focuses microtubule minus-ends into aster-like structures. These results provide critical insights into the activation of NuMA and dynein for their mitotic functions."
