text,sourcedb,sourceid
"ATP is synthesized by coupling a reaction that is highly energetically favorable to an energetically unfavorable phosphorylation reaction in which a
phosphate group is added to ADP (adenosine diphosphate)",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Hexokinase catalyzes a phosphorylation reaction (an event) that converts glucose to glucose-6-phosphate, which is one of the reactions in a glycolysis pathway;",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The amino acid side chains of the four histones in the nucleosome core are subjected to a remarkable variety of covalent modifications, including the acetylation of lysines, the mono-, di-, and trimethylation of lysines, and the phosphorylation
of serines",Molecular Biology of the Cell Textbook,ISBN 9780393884835
Much of the decrease in translation is caused by the phosphorylation of the translation initiation factor eIF2 by specific protein kinases that respond to the changes in conditions.,Molecular Biology of the Cell Textbook,ISBN 9780393884835
"This leads to phosphorylation of tyrosine side chains on the cytosolic part of the receptor, creating phosphotyrosine docking sites for various intracellular signaling proteins that relay the signal",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Activated TGFβ/activin receptors phosphorylate Smad2 or Smad3, while activated
BMP receptors phosphorylate Smad1, Smad5, or Smad8.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Phosphorylation of stathmin inhibits its binding to
tubulin, and signals that cause stathmin phosphorylation can increase the rate
of microtubule elongation and suppress dynamic instability.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The cell lysate is then separated
by SDS-PAGE gel, and phosphorylation of p38 is detected by
Western blotting",Map Kinase Signaling Protocols ,ISBN 9781607617945
"In addition, we present the techniques used to determine the effect these mutations have
on activity of the Ras/MAPK pathway through Western blot analysis of the phosphorylation of
endogenous ERK1/2,",Map Kinase Signaling Protocols ,ISBN 9781607617945
"Phosphorylation of both the threonine and
tyrosine within this signature sequence is required for MAPK activation",Map Kinase Signaling Protocols ,ISBN 9781607617945
"Fructose 2,6-bisphosphate is formed by phosphorylation of fructose-6-
phosphate by phosphofructokinase-2.",Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
D-Glyceraldehyde enters glycolysis via phosphorylation to glyceraldehyde-3-phosphate catalyzed by triokinase.,Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
"Galactokinase catalyzes the phosphorylation of galactose, using ATP as phosphate donor (Figure 20–6). Galactose-1-phosphate reacts with UDPGlc to form uridine diphosphate galactose (UDPGal) and glucose-1-phosphate, in a reaction catalyzed by galactose-1-phosphate uridyl transferase.",Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
"Phosphorylation of carbamate by the second ATP
then forms carbamoyl phosphate.",Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
"Similarly, deoxycytidine kinase (EC 2.7.1.24 phosphorylates deoxycytidine and 2′- deoxyguanosine, forming dCMP and dGMP, respectively",Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
"Insulin and mitogenic growth polypeptides, or growth factors (eg, IGF-1, PDGF, interleukin-2, and angiotensin II) activate the PI3 kinase/AKT kinase signaling pathways, which activate the mTOR kinase, and results in the phosphorylation of 4E-BP. Phosphorylated 4E-BP dissociates from 4E, and the latter is then able to form the 4F complex and bind to the mRNA cap.",Harper's Illustrated Biochemistry 31/e,ISBN 9781259837937
"Optimal induction of NF-kB target genes also requires phosphorylation of NF-kB proteins, such as p65, within their transactivation domain by a variety of kinases in response to distinct
stimuli.",Pubmed,15653325
"The ankyrin-containing and inhibitory molecule p105
is also subjected to TNFa and IKK-mediated phosphorylation on Ser927 and Ser932",Pubmed,15653325
"In addition, glycogen synthase kinase 3b (GSK3b) phosphorylates p105 on Ser903 and Ser907 and stabilizes p105 by preventing its degradation in unstimulated cells",Pubmed,12871932
"After stimulus-induced IkBa-degradation, activated PKA phosphorylates p65 on Ser276",Pubmed,20066092
"Ser276 of p65 is also phosphorylated by the mitogen- and stress-activated protein kinase-1 (MSK1) in the nucleus, and this phosphorylation is required for an optimal TNFa-mediated NF-kB activation",Pubmed,19197368
Ser311 is another residue within the N-terminal Rel homology domain (RHD) domain that is targeted for phosphorylation by another kinase – protein kinase C (PKC)-z – in TNFa-stimulated cells,Pubmed,36291185
IL-1b stimulation also triggers p65 phosphorylation within minutes in the cytoplasm and CK2 activity associated with this NF-kB protein has been reported and This cytoplasmic CKII activity is also associated with p65 upon TNFa stimulation and targets Ser529 of this substrate,Pubmed,11416133
"Phosphorylation of RelB at Thr84 and Ser552 in cells stimulated by 12-O-tetradecanoylphorbol 13-acetate and ionomycin triggers degradation of RelB via the proteasome pathway but, again, the identity of the kinase that phosphorylates RelB at these residues is unknown at present",Pubmed,26999213
"Indeed, PKA-mediated phosphorylation at Ser337, which is located within the Rel homology domain, enhances the p50 DNA-binding abilities",Pubmed,12947093
