doc_id,sentence,start,end,mention,entity_type
41866640_1,It should be noted that our use of the descriptor hyperphosphorylated tau is done to conform with current nomenclature; it should not be construed as indicating saturation of all the amino acids capable of being phosphorylated.,70,73,tau,Gene
41866640_1,It should be noted that our use of the descriptor hyperphosphorylated tau is done to conform with current nomenclature; it should not be construed as indicating saturation of all the amino acids capable of being phosphorylated.,183,194,amino acids,Chemical
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",17,23,PIEZO1,Gene
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",44,62,pulmonary fibrosis,Disease
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",79,84,CAPN2,Gene
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",94,99,STAT3,Gene
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",179,193,interleukin-33,Gene
41862458_1,"Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases.",23,42,ubiquitin E3 ligase,Gene
41862458_1,"Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases.",43,48,RNF40,Gene
41862458_1,"Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases.",99,103,CDK1,Gene
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",43,47,PLK1,Gene
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",68,72,PLK1,Gene
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",129,133,CDK1,Gene
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",134,139,RNF40,Gene
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",140,144,PLK1,Gene
41862458_3,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade.",18,23,RNF40,Gene
41862458_3,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade.",175,179,CDK1,Gene
41862458_3,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade.",180,185,RNF40,Gene
41862458_3,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade.",186,190,PLK1,Gene
41862458_4,"Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe.",13,18,RNF40,Gene
41862458_4,"Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe.",44,49,RNF40,Gene
41862458_4,"Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe.",74,78,PLK1,Gene
41862462_1,"We conduct an integrated analysis of chromatin accessibility, DNA methylation, mRNA expression, protein abundance and phosphorylation across eight tissues in fifty rats of equally represented sexes following endurance exercise training to identify coordinated epigenomic and transcriptional changes and determine key transcription factors involved.",164,168,rats,Species
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",31,36,actin,Gene
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",86,91,ezrin,Gene
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",128,137,"PI(4,5)P2",Chemical
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",138,150,phospholipid,Chemical
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",206,211,ezrin,Gene
41852029_2,"Collectively, membrane association and T567 phosphorylation are believed to promote separation of the FERM and CTD domains; however, the underlying molecular mechanism remains less clear.",39,43,T567,Variant
41852029_3,We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier.,22,26,FERM,Gene
