text,sourcedb,sourceid
"The C-terminus of ubiquitin is initially activated by being linked via a high-energy thioester bond to a cysteine side chain on the E1 protein. This reaction requires ATP, and it proceeds via a covalent AMP–ubiquitin intermediate.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The activated ubiquitin on E1, also known as the ubiquitin-activating enzyme, is then transferred to the cysteine on an E2 molecule.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
the activity of a ubiquitin ligase is turned on either by E3 phosphorylation or by an allosteric transition in an E3 protein caused by its binding to a specific small or large mol - ecule.,Molecular Biology of the Cell Textbook,ISBN 9780393884835
"For example, the anaphase-promoting complex/cyclosome (APC/C) is a multisubunit ubiquitin ligase that is activated by a cell-cycle-timed subunit addition at mitosis.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Not all proteins that bind to activated RTKs via SH2 domains help to relay the signal onward. Some act to decrease the signaling process, providing negative feedback. One example is the c-Cbl protein, which can dock on some activated receptors and catalyze their ubiquitylation, covalently adding one or more ubiqui- tin molecules to specific sites on the receptor.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Smad7 (and possibly Smad6) binds to the cytosolic tail of the activated receptor and inhibits its signaling ability in at least three ways: (1) it competes with R-Smads for binding sites on the receptor, decreasing R-Smad phosphorylation; (2) it recruits a ubiquitin ligase called Smurf, which ubiquitylates the receptor, leading to receptor internalization and degradation (it is because Smurfs also ubiquitylate and promote the degradation of Smads that they are called Smad ubiquitylation regulatory factors, or Smurfs); and (3) it recruits a protein phosphatase that dephosphorylates and inactivates the recep- tor. In addition, the inhibitory Smads bind to the co-Smad, Smad4, and inhibit it, either by preventing its binding to R-Smads or by promoting its ubiquitylation and degradation.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The complex contains at least four other proteins, including a protein kinase called casein kinase 1 (CK1), which phosphorylates the β-catenin on a serine, priming it for further phosphorylation by another protein kinase called glycogen synthase kinase 3 (GSK3). This final phosphorylation marks the protein for ubiquitylation and rapid degradation in proteasomes.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The binding of TNFα causes a rearrangement of the clustered cytosolic tails of the receptors, which now recruit various signaling proteins, resulting in the activation of a protein kinase that phosphorylates and activates IκB kinase kinase (IKK). IKK is a heterotrimer composed of two kinase subunits (IKKα and IKKβ) and a regulatory subunit called NEMO. IKKβ then phosphorylates IκB on two serines, which marks the protein for ubiquitylation and degradation in proteasomes.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"active CTR1 stimulates the ubiquitylation and degradation in proteasomes of a nuclear transcription regulator called EIN3, which is required for the transcription of ethylene-responsive genes.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The auxin receptor proteins are located mainly in the nucleus. When activated by auxin binding, the receptor– auxin complex recruits a ubiquitin ligase, which ubiquitylates the Aux/IAA protein, marking it for degradation in proteasomes. ARF is now free to activate the transcription of auxin-responsive genes.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"First, a protein called geminin is labeled with a green fluorescent protein. This protein is targeted for degradation by the APC/C, a ubiquitin ligase that is active from metaphase to the end of G1 (as discussed later). Thus, the green fluorescence of this protein is seen from early S phase to mid-mitosis. A second protein, called Cdt1, is tagged with a red fluorescent protein. This protein is targeted for ubiquitylation and destruction from late G1 to telophase of mitosis.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The APC/C catalyzes the ubiquitylation and destruction of two major proteins. The first is securin; its destruction in metaphase activates a protease that separates the sister-chromatid pairs and unleashes anaphase, as described later. The S- and M-cyclins are the second major targets of the APC/C.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"The cell-cycle control system also employs another ubiquitin ligase called SCF (see Figure 3–67). Its major role in the cell cycle is to ubiquitylate certain CKI proteins in late G1, thereby helping to control the activation of S-Cdks and DNA replication",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Like Cdh1, Sic1 is inhibited by M-Cdk, which phosphorylates Sic1 during mitosis and thereby promotes its ubiquitylation by SCF",Molecular Biology of the Cell Textbook,ISBN 9780393884835
p27 suppresses G1/S-Cdk and S-Cdk activities in G1; helps cells withdraw from cell cycle when they terminally differentiate; phosphorylation by Cdk2 triggers its ubiquitylation by SCF,Molecular Biology of the Cell Textbook,ISBN 9780393884835
"APC/C catalyzes ubiquitylation of regulatory proteins involved primarily in exit from mitosis, including securin and S-cyclins and M-cyclins; regulated by association with activating subunits Cdc20 or Cdh1",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"SCF employs various substrate-binding (F-box) subunits to catalyze ubiquitylation of regulatory proteins involved in G1 control, including some CKIs (Sic1 in budding yeast, p27 in mammals)",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"CRL4–Cdt2 catalyzes ubiquitylation of the replication regulator Cdt1 during S phase, thereby suppressing further loading of Mcm helicase at origin",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Also, the association of Cdt1 with a protein at active replication forks stimulates Cdt1 ubiquitylation by a ubiquitin ligase called CRL4–Cdt2, leading to Cdt1 degradation.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
The activation of APC/C by Cdc20 leads to the ubiquitylation and destruction of securin,Molecular Biology of the Cell Textbook,ISBN 9780393884835
Mdm2 normally binds to p53 and promotes its ubiquitylation and destruction in proteasomes.,Molecular Biology of the Cell Textbook,ISBN 9780393884835
"Rad6 is known to direct mono-ubiquitination of histone H2B, which is involved in regulating gene transcription in the nucleus.",PubMed,36552873
The resulting K48-linked and K11-linked ubiquitin chains do not only represent a signal for degradation by the proteasome but are also recognized by the AAA+ ATPase Cdc48 and get in the process of retrotranslocation modified by enzymes bound to Cdc48.,PubMed,32731622
"Although Ubc7 is the main E2 enzyme that cooperates with the Hrd1 E3 ligase, the central component of the Hrd complex, Ubc6 interacts with another E3 ligase complex, the Doa10 complex.",PubMed,32731622
"In addition, detailed biochemical studies have shown that binding enhances the ubiquitination reaction by an allosteric mechanism. Ubc7 bound to the isolated U7BR showed strongly enhanced ubiquitination activity, independently of the presence of E3 ligases.",PubMed,32731622
In mammalian cells the ERAD E3 ligase gp78 contains in addition to the G2BR domain that binds to the E2 enzyme Ube2g2 also a CUE domain that recognizes the hydrophobic patch of ubiquitin similar to other CUE domains.,PubMed,32731622
