pmid,title,chunk_id,token_count,text
41866640,Is Alzheimer's an Autoimmune Disease?,1,56,It should be noted that our use of the descriptor hyperphosphorylated tau is done to conform with current nomenclature; it should not be construed as indicating saturation of all the amino acids capable of being phosphorylated.
41862476,Single-cell multiomics uncovers an endothelial mechanosensitive PIEZO1-IL-33 axis driving pulmonary fibrosis.,1,51,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33."
41862458,A cell cycle-dependent transition of acetylation to phosphorylation regulates timely centrosome maturation.,1,54,"Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases."
41862458,A cell cycle-dependent transition of acetylation to phosphorylation regulates timely centrosome maturation.,2,57,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation."
41862458,A cell cycle-dependent transition of acetylation to phosphorylation regulates timely centrosome maturation.,3,64,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade."
41862458,A cell cycle-dependent transition of acetylation to phosphorylation regulates timely centrosome maturation.,4,55,"Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe."
41862462,Multi-omic identification of key transcriptional regulatory programs during endurance exercise training in rats.,1,63,"We conduct an integrated analysis of chromatin accessibility, DNA methylation, mRNA expression, protein abundance and phosphorylation across eight tissues in fifty rats of equally represented sexes following endurance exercise training to identify coordinated epigenomic and transcriptional changes and determine key transcription factors involved."
41852029,On the Mechanism of Ezrin Activation.,1,79,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567."
41852029,On the Mechanism of Ezrin Activation.,2,40,"Collectively, membrane association and T567 phosphorylation are believed to promote separation of the FERM and CTD domains; however, the underlying molecular mechanism remains less clear."
41852029,On the Mechanism of Ezrin Activation.,3,42,We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier.
41852165,Mitochondrial Adaptations in Skeletal Muscle Following Incretin-Based Therapies: In Vitro.,1,59,"Mitochondrial respiration was assessed using the Seahorse XFp analyser, mitochondrial DNA (mtDNA) copy number and oxidative phosphorylation (OXPHOS) complex protein expression were measured by qPCR and western blotting."
41861599,Trem1 regulates neutrophil metabolism and recruitment in lung ischemia-reperfusion injury.,1,47,Multi-omics analysis revealed that Trem1 deletion suppressed oxidative phosphorylation (OXPHOS) and induced a metabolic shift in neutrophils toward glycolysis.
41864848,T-loop dynamics: telomere structure shapes cell fate decisions.,1,46,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN."
41855862,An overview of NF-κB-independent functions of IKK subunits.,1,32,"Its canonical function is to phosphorylate IκB proteins, thereby promoting the nuclear translocation and transcriptional activation of NF-κB."
41855862,An overview of NF-κB-independent functions of IKK subunits.,2,57,"This functional versatility is precisely governed by stimulus strength/duration, subcellular compartmentalization, scaffold protein usage, and differential substrate phosphorylation thresholds, which enable the same core kinase machinery to robustly control seemingly contradictory signaling outputs."
41850541,TAOK3 promotes ccRCC progression by phosphorylating ASAP2.,1,63,"Mass spectrometry coupled with phosphosite prediction analysis identified four serine residues (S701, S712, S722, and S728) on ASAP2 as phosphorylation targets of putative phosphorylation sites mediated by TAOK3."
41850541,TAOK3 promotes ccRCC progression by phosphorylating ASAP2.,2,42,These phosphorylation events were further by co-immunoprecipitation and were essential for the pro-metastatic activity of the TAOK3-ASAP2 signaling axis.
41850541,TAOK3 promotes ccRCC progression by phosphorylating ASAP2.,3,53,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC."
41864544,HADHA in Cardiovascular Disease: From Mitochondrial Dysfunction to Therapeutic Targets.,1,44,"HADHA dysfunction disrupts energy balance by causing toxic metabolite buildup, impairing oxidative phosphorylation, and aberrant cardiolipin remodeling."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",1,41,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD)."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",2,47,"However, therapeutic strategies aimed at directly clearing neurofibrillary tangles have demonstrated limited clinical efficacy, shifting the research focus towards the fundamental underlying mechanism- the dysregulation of tau phosphorylation."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",3,47,"Evidence indicates that tau physiological phosphorylation is indispensable for microtubule stability and normal neuronal function, while its aberrant hyperphosphorylation drives neurodegeneration."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",4,31,"Consequently, restoring tau phosphorylation homeostasis, rather than merely eliminating the pathological protein, has emerged as a promising therapeutic paradigm."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",5,32,"This review systematically delineates the physiological functions and pathological mechanisms of tau phosphorylation, highlighting its central role in AD pathogenesis."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.",6,40,"We summarize recent advances in drug development targeting key kinases and phosphatases, and discuss the diagnostic value and application prospects of tau phosphorylation biomarkers."
41869306,"Immunometabolism in rheumatoid arthritis: mechanisms, biomarkers, and the path to precision medicine.",1,46,"To sustain inflammation and tissue damage, pathogenic immune and stromal cells undergo specific metabolic reprogramming that alters glycolysis, oxidative phosphorylation, and lipid metabolism."
41862111,Micropatterning transcriptionally and phenotypically reprograms endothelial cells.,1,73,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells."
41862111,Micropatterning transcriptionally and phenotypically reprograms endothelial cells.,2,51,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.
41895230,Pseudokinases in neurodevelopment and disease.,1,35,Pseudokinases are enigmatic proteins that evolved such that they retained the evolutionarily conserved kinase-like fold but lost key residues required for substrate phosphorylation.
41895230,Pseudokinases in neurodevelopment and disease.,2,39,"SIGNIFICANCE STATEMENT: Pseudokinases are understudied proteins that lack the catalytic ability to mediate phosphorylation, yet, they perform extraordinary and physiologically essential signaling functions."
41847111,Promotion of breast cancer by the DNPH1 enzyme.,1,38,"This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein."
41847664,"Discovery of dihydrospiro[cyclopropane-1,7'-pyrrolo[3,4-",1,39,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519."
41854818,Unveiling the multifaceted roles of BCL3: biological functions and disease implications.,1,22,"This complex functionality is finely modulated by post-translational modifications, particularly phosphorylation."
41864233,Integration of plasma eMTBR-tau243 and p-tau217 in the diagnosis and stratification of Alzheimer's disease: a prospective cohort study.,1,57,"Using mass spectrometry techniques, plasma p-tau217 was measured as a ratio to a non-phosphorylated peptide (%p-tau217), and eMTBR-tau243 was measured as a concentration."
41865688,Yifei Sanjie pill combined with gefitinib reduces the progression of EGFR-TKIs-resistant non-small cell lung cancer via YAP/ANKRD1 axis.,1,69,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis."
41876639,Glycosylation as a dynamic regulator of RLR and cGAS-STING innate immune signalling pathways.,1,76,"We further discuss crosstalk between glycosylation, ubiquitination, and phosphorylation, metabolic regulation of UDP-GlcNAc flux, and pathogen- or tumor-driven glycosylation reprogramming, highlighting glycosylation enzymes as potential immunomodulatory targets."
41886288,Elemental Sulfur/Base/Water: An Efficient System for the Synthesis of 2-Phosphoryl-Substituted Benzazoles via a Willgerodt-Kindler-Type Reaction.,1,63,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.
41882025,Solubility based mechanistic profiling of combinatorial drug therapy.,1,35,"Post-translational modification analysis revealed combination-induced acetylation, methylation, and phosphorylation of key AML proteins, including NPM1."
41842946,A HHEX/IKKα positive feedback loop promotes intestinal inflammation.,1,73,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation."
41868124,Pyrimidine nucleoside: inspiration for novel antimicrobial agent.,1,47,"As prodrugs, these derivatives require intracellular enzymatic phosphorylation to form active metabolites that inhibit nucleic acid synthesis, and their efficacy is dependent on intracellular enzyme levels and activity."
41889763,HP(O)Ph,1,49,"The roles of H-phosphoryl compounds [HP-(O)-R'R″] in various transformations remain insufficiently elucidated, particularly concerning their contributions to facilitating the conversion of inert chemical bonds."
41889763,HP(O)Ph,2,75,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water."
41887981,Mitochondrial NADP(H) integrates redox and metabolism.,1,52,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance."
41858737,Mitochondrial metabolism in cancer stem cells (CSCs): molecular and diagnostic implications.,1,47,"While bulk tumor cells are often dependent on glycolysis, CSCs demonstrate metabolic plasticity can switch between glycolysis and OXPHOS (oxidative phosphorylation) depending on context."
41849049,CaMKII as a Multimodal Signalling Hub in Neural Connectivity and Vulnerability.,1,41,"Classical models cast CaMKII as a Ca2+/calmodulin-activated kinase that, once phosphorylated, persists autonomously to encode synaptic memory."
41868506,Regulatory networks and molecular mechanisms underlying salt stress tolerance in rice.,1,43,Rice senses salinity using receptor-like kinases and Ca2+-dependent signaling pathway but the initial stages of the response and down-stream phosphorylation cascades have not been characterized well.
41863615,Exercise and CD8,1,45,"Concurrently, exercise improves metabolic adaptation and sustains antitumor effects via metabolic reprogramming, which involves enhancing mitochondrial oxidative phosphorylation and increasing lactate-mediated stemness."
41861913,A review of peroxisome biology: Potential implications for cardiac physiology and pathology.,1,101,"While metabolic alterations and substrate utilization inflexibility have been well studied and are considered hallmarks of heart failure pathogenesis, the overwhelming majority of these investigations have focused on the health and function of the mitochondria in cardiac myocytes; for good reason given the mitochondria is the location of oxidative phosphorylation complexes that, although debated, can form respiratory super complexes to generate ATP in conjunction with the electron transport chain and TCA cycle."
