doc_id,sentence,entity_count,entities
41866640_1,It should be noted that our use of the descriptor hyperphosphorylated tau is done to conform with current nomenclature; it should not be construed as indicating saturation of all the amino acids capable of being phosphorylated.,2,tau|Gene|70|73 ; amino acids|Chemical|183|194
41862476_1,"Mechanistically, PIEZO1 activation promotes pulmonary fibrosis development via CAPN2-mediated STAT3 phosphorylation, which may regulate the secretion of the pro-fibrotic molecule interleukin-33.",5,PIEZO1|Gene|17|23 ; pulmonary fibrosis|Disease|44|62 ; CAPN2|Gene|79|84 ; STAT3|Gene|94|99 ; interleukin-33|Gene|179|193
41862458_1,"Here, we find that the ubiquitin E3 ligase RNF40 localizes to centrosomes and is phosphorylated by CDK1 on T529/T557 in the G2/M phases.",3,ubiquitin E3 ligase|Gene|23|42 ; RNF40|Gene|43|48 ; CDK1|Gene|99|103
41862458_2,"This phosphorylation primes its binding to PLK1 and promotes timely PLK1 recruitment and centrosome maturation, establishing the CDK1-RNF40-PLK1 cascade as a mechanism controlling centrosome maturation.",5,PLK1|Gene|43|47 ; PLK1|Gene|68|72 ; CDK1|Gene|129|133 ; RNF40|Gene|134|139 ; PLK1|Gene|140|144
41862458_3,"We also find that RNF40 is acetylated in interphase and undergoes an acetylation-to-phosphorylation transition in late G2 and M phases, which permits timely activation of the CDK1-RNF40-PLK1 cascade.",4,RNF40|Gene|18|23 ; CDK1|Gene|175|179 ; RNF40|Gene|180|185 ; PLK1|Gene|186|190
41862458_4,"Constitutive RNF40 acetylation or deficient RNF40 phosphorylation impairs PLK1 localization, microtubule nucleation, and bipolar spindle assembly, causing mitotic catastrophe.",3,RNF40|Gene|13|18 ; RNF40|Gene|44|49 ; PLK1|Gene|74|78
41862462_1,"We conduct an integrated analysis of chromatin accessibility, DNA methylation, mRNA expression, protein abundance and phosphorylation across eight tissues in fifty rats of equally represented sexes following endurance exercise training to identify coordinated epigenomic and transcriptional changes and determine key transcription factors involved.",1,rats|Species|164|168
41852029_1,"The formation of this membrane-actin linkage has been experimentally shown to require ezrin N-terminal (FERM) domain binding to PI(4,5)P2 phospholipid-enriched membrane sites and the phosphorylation of the ezrin C-terminal domain (CTD) at residue T567.",5,"actin|Gene|31|36 ; ezrin|Gene|86|91 ; PI(4,5)P2|Chemical|128|137 ; phospholipid|Chemical|138|150 ; ezrin|Gene|206|211"
41852029_2,"Collectively, membrane association and T567 phosphorylation are believed to promote separation of the FERM and CTD domains; however, the underlying molecular mechanism remains less clear.",1,T567|Variant|39|43
41852029_3,We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier.,3,FERM|Gene|22|26 ; ezrin|Gene|51|56 ; T567|Variant|57|61
41852165_1,"Mitochondrial respiration was assessed using the Seahorse XFp analyser, mitochondrial DNA (mtDNA) copy number and oxidative phosphorylation (OXPHOS) complex protein expression were measured by qPCR and western blotting.",1,oxidative phosphorylation (OXPHOS) complex|Gene|114|156
41861599_1,Multi-omics analysis revealed that Trem1 deletion suppressed oxidative phosphorylation (OXPHOS) and induced a metabolic shift in neutrophils toward glycolysis.,1,Trem1|Gene|35|40
41864848_1,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN.",4,Aurora B kinase|Gene|85|100 ; shelterin|Gene|111|120 ; BTR|Gene|145|148 ; WRN|Gene|176|179
