text,sourcedb,sourceid
"The best characterized ligands for the AhR include halogenated aromatic hydrocarbons (HAHs), such as the polychlorinated dibenzo-p-dioxins, dibenzofurans, and biphenyls, and polycyclic aromatic hydrocarbons (PAHs). HAHs, such as 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD, dioxin) generally have the highest affinities for the AhR",PubMed,31337850
" The IGFBPs bind IGF-I and IGF-II in the circulation to prolong their half-lives and modulate tissue access, thereby controlling IGF function.",PubMed,33962049
"Schutz et al. found a 4-12-fold and 100-fold increase in the kinetic off-rate and affinity for the binding of T cell receptor (TCR) and peptide major histocompatibility complex (pMHC),",PubMed,37240408
"For CB1 we also modeled the whole N-terminal part and we have simulated the entrance of two agonists, anandamide and Delta9-THC, into the structure of CB1. For the S1P1 receptor, the SMD simulations of ligand pulling were performed for two agonists of that receptor, sphingosine-1-phosphate (S1P) and fingolimod-(S)-phosphate ((S)-FTY720-P). For the LPA1 receptor, the similar SMD simulations were performed for lysophosphatidic acid, which is the endogenous agonist of that receptor.",PubMed,32326322
"build a structural model of the NPY-Y5 R complex guided by the experimental data... further show that the other two natural ligands of Y5 R, peptide YY (PYY) and pancreatic polypeptide (PP) dock to the receptor in a similar pose.",PubMed,34822209
"Here we describe a fast, high-throughput FP assay to quantify the binding of fluorescently labeled inositol 1,4,5-trisphosphate (IP3) to N-terminal fragments of the IP3 receptor",PubMed,31773574
"It is regulated by the TR native ligand triiodothyronine (T3), which displays anticooperative behavior to the RXR ligand 9-cis retinoic acid (9C).",PubMed,33450664
"From the simulations, both the agonist progesterone (P4) and the selective PR modulator (SPRM) asoprisnil induces agonistic-like helix 12 conformations (the ""closed"" states) in PR LBD",PubMed,31134186
"The most potent and selective ligands being 8c (ICI 118,551-Gly-Ala-BODIPY-FL-X; beta2AR pKD 7.48), 9c (ICI 118,551-betaAla-betaAla-BODIPY-FL-X; beta2AR pKD 7.48), 12a (ICI 118,551-PEG-BODIPY-X-630/650; beta2AR pKD 7.56), and 12b (ICI 118,551-PEG-BODIPY-FL; beta2AR pKD 7.42)",PubMed,34003582
"Functionalized gamma-butyrolactone and oxazolidinone-based ligands, in particular, are pharmacologically important scaffolds in drug discovery research and have been thoroughly examined for sigma2 receptor efficacy.",PubMed,35919619
Melatonin receptors (MT1 and MT2 in humans) are family A G protein-coupled receptors that respond to the neurohormone melatonin to regulate circadian rhythm and sleep.,PubMed,35075127
We combined supervised molecular dynamics (SuMD) and classic molecular dynamics (cMD) simulations to study the binding of the calcitonin gene-related peptide (CGRP) to the CGRP receptor (CGRPR).,PubMed,34513925
"Guided by crystal structures of our lead compound JH112 and the approved hypnotic drug suvorexant bound to OX1R and OX2R, respectively,",PubMed,38964170
"Galanin regulate its physiologic and pathologic functions by interacting with three G-protein coupled receptors; GalR1, GalR2 and GalR3.",PubMed,34632940
"Chemerin, a mediator of innate immunity, mainly acts on chemokine-like receptor 1 (CMKLR1) to induce the migration of macrophages and dendritic cells.",PubMed,34241650
we present the establishment of a homogeneous live cell-based BRET binding assay for the histamine H2 receptor with different fluorescently labeled squaramide-type compounds synthesized in the course of this study. Py-1-labeled ligand 8 (UR-KAT478) was found to be most suitable in BRET saturation binding experiments with respect to receptor affinity,PubMed,32764682
The kinetics of binding of tri-N-acetylglucosamine (NAG3) to hen egg-white lysozyme (HEWL) was investigated previously by several groups,PubMed,34546051
"eported values of the dissociation constants (KD) for the binding of galectin-3 to galactose-beta1,4-glucose (lactose), for example, range from 16 to 860 muM...reported KD of methyl-(Gal-beta1,4-Glc) (methyllactose) is 224 muM.",PubMed,33225133
"Here we report two near-atomic resolution cryo-EM structures of PAC1R activated by PACAP38 or maxadilan, providing structural insights into two distinct ligand binding modes.",PubMed,32047270
"Here we investigate the binding affinities of oxytocin (OT) and vasopressin (AVP) at the oxytocin receptor (OTR) and the vasopressin V1a receptor (V1aR), both of which are present in numerous in brain regions associated with social behavior.",PubMed,38480666
"Herein, we present a structural model for a channel pore and a d-fructose-binding site in BmGr9.",PubMed,36209821
"The aim of this study was to characterise interactions between the TRP cation channel subfamily melastatin member 4 (TRPM4) and endogenous intracellular modulators:calcium-binding proteins (calmodulin (CaM) and S100A1) and phosphatidylinositol 4, 5-bisphosphate (PIP2).",PubMed,32560560
"The chemokine CXCL8 (also known as interleukin-8, abbreviated IL-8) and its G-protein-coupled receptors CXCR1 and CXCR2 are crucial elements in this process, and also the development of many cancers.",PubMed,37433790
Here we describe an example of applying single-molecule dynamic force spectroscopy to study the binding of epidermal growth factor (EGF) to its receptor EGFR,PubMed,30374866
"The palm region in BMP-9 interacts with the type I receptor (ALK1, grey), the knuckle epitope interacts with the type II receptor (ActRIIB, orange).",PubMed,33087301
"In contrast to BMPs and activins, TGF-β 1-3 have a specific type II receptor, TGFBRII.",PubMed,33087301
"Inhibin A, like activin A, binds ActRIIA and ActRIIB.",PubMed,33087301
"BMP-3 is also considered to be an antagonistic ligand, as it has no known type I receptor but can compete with activin and BMP-4 for binding to ActRIIB",PubMed,33087301
"Lefty1 and lefty2 are unusual ligands in that they share a uniquely extended C-terminal sequence, and do not form covalent dimers as they lack the cysteine residue required for dimerization. Nevertheless, they competed with nodal for binding to ActRIIA and ActRIIB and inhibited Nodal signaling",PubMed,33087301
"Two examples are GDF-11 and GDF-8 (myostatin), which activate SMAD2/3 via the type I receptors ALK4, ALK5, or ALK7",PubMed,33087301
"For example, activin A activates the SMAD2/3 branch via the type I receptor ALK4. However, activin A may also form an inhibitory NSC with ALK2, as it inhibited BMP-6 and BMP-7 signaling in cells where ALK2 is the main type I receptor",PubMed,33087301
Tumor necrosis factor (TNF) receptor associated factor-2 (TRAF2) has been originally identified as a protein interacting with TNF receptor 2 (TNFR2) but also binds to several other receptors of the TNF receptor superfamily (TNFRSF).,PubMed,36011046
"While activated TNFR2 directly binds TRAF2 and TRAF1, cIAP1 and cIAP2 are indirectly recruited to TNFR2 by help of TRAF2.",PubMed,36011046
In RNA virus-infected cells cytosolic double-stranded (ds) RNA is recognized by RIG1 and/or the RIG1-like receptor (RLR) melanoma differentiation-associated 5 (MDA5),PubMed,36011046
"The RLR filaments in turn bind to mitochondria antiviral signaling protein (MAVS; also named VISA, IPS-1, or Cardif) and nucleate the formation MAVS filaments",PubMed,36011046
TRAF2 and TRAF5 on the one side and TRAF3 and TRAF6 on the other side bind to different binding motifs in MAVS,PubMed,36011046
"In contrast to receptors of the TNFRSF, RIG1 and MDA5 not only stimulate the activation of NFκB transcription factors by help of the TRAF proteins but also engage IRF3 and IRF7.",PubMed,36011046
"It is worth mentioning that the RLR LGP2 associates with the C-terminus of TRAF2, TRAF3, TRAF5, and TRAF6 and acts as a pan-inhibitor of stimuli using these TRAF proteins for activation of the classical NFκB pathway",PubMed,36011046
Many of the triggers of apoptotic JNK signaling engage the JNK pathway by TRAF2-dependent activation of the MAP3K apoptosis signal-regulating kinase 1 (ASK1). The latter is kept inactive in cells by binding to thioredoxin (Trx).,PubMed,36011046
"ROS formation, e.g., in response to TNF, results in dissociation of the ASK1-Trx complex giving TRAF2 access to ASK1.",PubMed,36011046
"Worth mentioning, TRAF2 has also been found to bind and stimulate the mammalian ste20-like kinase 1 (MST1)",PubMed,36011046
"Bcl-2 and Bcl-xL attenuate autophagy by binding and inhibition of Beclin-1, thereby hindering the latter to stimulate the ULK1 complex, which promotes autophagosome initiating vesicle nucleation. ",PubMed,36011046
"Similarly, the anti-inflammatory triterpene celastrol binds to Nur77, resulting in enhanced TRAF2-Nur77 interaction and eventually mitophagy",PubMed,36011046
"More important, TRAF2 binds and stabilizes the β-catenin-TNIK-TCF4 complex thereby crucially contributing to TCF4 activation",PubMed,36011046
Jia et al. reported recently that TRAF2 binds LRPPRC to ubiquitinate argininosuccinate synthase 1 marking this enzyme for degradation resulting in reduced arginine synthesis,PubMed,36011046
"Binding of TNFα to the 75 kDa TNFR-2 is not sufﬁcient to attain cytotoxicity (Thoma et al., 1990),but rather binding to the 55 kDa TNFR-1 is sufﬁcient to attain TNFα mediated cell killing (Van Ostade et al.,1993).",Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
"Decoy receptors (DcR1, DcR2, and DcR3) sequester Trail (DcR1 and DCR2) and Fas (DcR3) ligands, thereby preventing apoptosis (Ashkenazi and Dixit,1999).",Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
"The differences were par-ticularly marked for CD40L, which binds to CD40 and does not bind to TNFR-1 or TNFR-2.",Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
Model complexes of TNFα with receptors TNFR-1 and TNFR-2 suggest that Arg31 of TNFα forms an ionic interaction with a Glu residue in both receptors.,Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
The complex between TNFβ and the extracellulardomain of TNFR-1 was the ﬁrst view of the receptor,Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
